userId,unique_friend_count
36847,121
41899,121
48247,121
81292,121
98959,121
324244,121
726235,121
843280,121
1075377,121
25085,120
378712,120
557285,120
597277,120
801,119
253238,119
274790,119
434167,119
545335,119
34108,118
105607,118
132454,118
187428,118
356810,118
447510,118
455256,118
9418,117
14325,117
109315,117
120695,117
212486,117
229873,117
84240,116
292291,116
299930,116
810238,116
799,115
1536,115
10387,115
69347,115
80741,115
113942,115
153766,115
445600,115
530756,115
8410,114
11350,114
16950,114
18608,114
26555,114
58681,114
63051,114
70569,114
91445,114
287640,114
2998,113
10823,113
25018,113
43137,113
187002,113
369026,113
420614,113
544251,113
651285,113
813009,113
903021,113
92763,112
95807,112
121801,112
200326,112
280088,112
281355,112
401173,112
467598,112
482220,112
491352,112
538862,112
566701,112
578111,112
587614,112
873825,112
5471,111
22827,111
31293,111
108505,111
177593,111
309376,111
632618,111
4786,110
39034,110
147624,110
327001,110
350644,110
372488,110
700246,110
9984,109
15866,109
55666,109
71993,109
173078,109
1006495,109
37602,108
80420,108
268087,108
272822,108
306575,108
510879,108
574351,108
809209,108
840461,108
979536,108
11891,107
16462,107
33416,107
56849,107
123730,107
353539,107
428095,107
463117,107
582659,107
612887,107
829761,107
11290,106
21382,106
25352,106
30248,106
495957,106
598967,106
973038,106
22065,105
31501,105
34838,105
47851,105
92096,105
141593,105
159450,105
178576,105
237822,105
255616,105
318489,105
590357,105
656414,105
671119,105
4448,104
29996,104
59440,104
72257,104
220811,104
289036,104
300207,104
397534,104
763416,104
772864,104
1066804,104
32440,103
61291,103
186335,103
344455,103
377945,103
399225,103
447029,103
766950,103
1197942,103
25833,102
27114,102
64820,102
306952,102
314315,102
610798,102
4024,101
37488,101
255241,101
673076,101
898494,101
4368,100
12062,100
15558,100
65730,100
71222,100
125142,100
128157,100
238363,100
245385,100
401334,100
421631,100
428967,100
861115,100
950927,100
7088,99
52987,99
86174,99
133941,99
178349,99
229381,99
341576,99
466199,99
551576,99
117045,98
213906,98
264089,98
272694,98
282960,98
298145,98
383350,98
405241,98
485637,98
7970,97
22589,97
78439,97
129794,97
161039,97
289660,97
290868,97
308721,97
445392,97
469610,97
4357,96
36359,96
91332,96
95220,96
217198,96
303668,96
460418,96
483925,96
644129,96
646485,96
693207,96
1112186,96
9897,95
21875,95
22064,95
86782,95
105619,95
133277,95
230161,95
275758,95
480627,95
519488,95
648877,95
1211423,95
3351,94
16868,94
20163,94
26140,94
40710,94
40869,94
68484,94
286646,94
307032,94
549910,94
556367,94
594704,94
669647,94
696399,94
846535,94
905063,94
3812,93
18311,93
27595,93
92100,93
93898,93
105807,93
280840,93
332897,93
342476,93
434660,93
13469,92
18071,92
50853,92
149245,92
398327,92
480475,92
501759,92
626324,92
753045,92
178,91
27988,91
136618,91
194597,91
195736,91
410690,91
472542,91
10643,90
20037,90
81297,90
147415,90
252995,90
262385,90
278966,90
356618,90
382061,90
385219,90
493600,90
770006,90
1299328,90
11875,89
13352,89
20093,89
39754,89
50193,89
50244,89
69627,89
153699,89
377990,89
434948,89
500692,89
698361,89
813006,89
12260,88
12980,88
29830,88
119361,88
302022,88
346418,88
362190,88
492974,88
613923,88
637910,88
881329,88
12054,87
29226,87
41509,87
43406,87
70453,87
93303,87
99710,87
107201,87
149248,87
158186,87
183252,87
369102,87
370146,87
383964,87
530917,87
740607,87
777109,87
197701,86
295539,86
362548,86
379185,86
379569,86
407692,86
522237,86
717333,86
768159,86
12344,85
35870,85
37064,85
62743,85
77931,85
136126,85
327940,85
466729,85
481414,85
640304,85
681144,85
684939,85
925575,85
959215,85
190,84
17380,84
28916,84
37983,84
45419,84
89933,84
147664,84
286508,84
297888,84
310190,84
